Airport_ICAO_Code,Airport_Name,State,Easting,Northing
KBIF,Biggs Army Air Field (Fort Bliss),Texas,2146674.57034511,974028.909659426
KBIL,Billings Logan International Airport,Montana,1909813.797691,2947356.65171213
KBHM,Birmingham-Shuttlesworth International Airport,Alabama,4295885.22153236,1197023.83610934
KFNT,Bishop International Airport,Michigan,4625486.37285061,2511693.64140789
KBIS,Bismarck Municipal Airport,North-Dakota,2763628.43961767,3100288.56835619
KSPF,Black Hills Clyde Ice Field,South-Dakota,2431060.56525184,2741257.26504963
KBDG,Blanding Municipal Airport,Utah,1806878.29149632,1738520.37833866
KBID,Block Island State Airport,Rhode-Island,5957709.50778744,2246546.58939743
KLEX,Blue Grass Airport,Kentucky,4531059.2028323,1801336.64656781
KMTV,Blue Ridge Airport,Virginia,5033427.05297859,1607715.9765739
KBLH,Blythe Airport,California,1233725.9876464,1204425.07290156
KHKA,Blytheville Municipal Airport,Arkansas,3958903.60525039,1513937.59916311
KBUR,Bob Hope Airport,California,834906.87325729,1281153.01814095
KCEW,Bob Sikes Airport,Florida,4321224.76039364,836786.048185745
KBCT,Boca Raton Airport,Florida,5023637.95375343,287859.426944301
KBFI,Boeing Field King County International Airport,Washington,403126.306947053,3222233.41119177
KASH,Boire Field,New-Hampshire,5964607.91115566,2484244.55214384
KBOI,Boise Air Terminal/Gowen field,Idaho,1068810.95073822,2601772.20835459
KTZR,Bolton Field,Ohio,4691923.08529031,2063997.79107009
KHRO,Boone County Airport,Arkansas,3594918.21133838,1557456.70185224
KELN,Bowers Field,Washington,597061.090001381,3142008.10178507
KBWG,Bowling Green Warren County Regional Airport,Kentucky,4332438.32101798,1653364.32397207
KPOC,Brackett Field,Minnesota,898091.970592958,1266717.32900837
KBFD,Bradford Regional Airport,Pennsylvania,5184348.1113445,2339371.47511486
KBDL,Bradley International Airport,Connecticut,5836662.03660369,2359341.67837905
KBRD,Brainerd Lakes Regional Airport,Minnesota,3487230.6007271,3040633.46660802
KBBG,Branson Airport,Missouri,3589898.17280002,1594267.67990132
KLBX,Brazoria County Airport,Texas,3342245.49434906,625703.101029995
KPWT,Bremerton National Airport,Washington,352425.506767965,3215781.24190934
KBBW,Broken Bow Municipal Airport,Nebraska,2884501.29939972,2285670.81944275
KSDM,Brown Field Municipal Airport,California,985914.819598616,1067578.44666736
KBRO,Brownsville South Padre Island International Airport,Texas,3127197.7738457,230318.959562301
KBWD,Brownwood Regional Airport,Texas,2959589.21287546,966824.642978429
KSUT,Brunswick County Airport,North-Carolina,5246229.88897236,1245276.84736222
KBQK,Brunswick Golden Isles Airport,Georgia,4874841.47329525,898120.010744357
KCCR,Buchanan Field,California,429955.47336155,1794832.12212896
